Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/05/2014	06:00:00.663	$GPGGA,060001,2449.5802,N,08033.1750,W,1,9,1.9,21,M,,M,,*5A
06/05/2014	06:00:01.668	$GPGGA,060002,2449.5788,N,08033.1771,W,1,9,1.9,21,M,,M,,*57
06/05/2014	06:00:02.713	$GPGGA,060003,2449.5773,N,08033.1792,W,1,8,1.9,21,M,,M,,*5E
06/05/2014	06:00:03.678	$GPGGA,060004,2449.5759,N,08033.1813,W,1,8,1.9,21,M,,M,,*57
06/05/2014	06:00:04.693	$GPGGA,060005,2449.5745,N,08033.1835,W,1,9,1.9,21,M,,M,,*5E
06/05/2014	06:00:05.680	$GPGGA,060006,2449.5730,N,08033.1855,W,1,9,1.9,21,M,,M,,*59
06/05/2014	06:00:06.673	$GPGGA,060007,2449.5715,N,08033.1875,W,1,9,1.9,21,M,,M,,*5D
06/05/2014	06:00:07.708	$GPGGA,060008,2449.5701,N,08033.1897,W,1,9,1.9,21,M,,M,,*5B
06/05/2014	06:00:08.703	$GPGGA,060009,2449.5687,N,08033.1916,W,1,9,1.9,21,M,,M,,*5D
06/05/2014	06:00:09.678	$GPGGA,060010,2449.5672,N,08033.1936,W,1,9,1.9,21,M,,M,,*5D
06/05/2014	06:00:10.683	$GPGGA,060011,2449.5656,N,08033.1956,W,1,9,1.9,21,M,,M,,*5C
06/05/2014	06:00:11.719	$GPGGA,060012,2449.5643,N,08033.1976,W,1,9,1.9,21,M,,M,,*59
06/05/2014	06:00:12.734	$GPGGA,060013,2449.5626,N,08033.1996,W,1,9,1.9,21,M,,M,,*55
06/05/2014	06:00:13.699	$GPGGA,060014,2449.5611,N,08033.2016,W,1,9,1.9,21,M,,M,,*54
06/05/2014	06:00:14.704	$GPGGA,060015,2449.5596,N,08033.2038,W,1,9,1.9,21,M,,M,,*55
06/05/2014	06:00:15.720	$GPGGA,060016,2449.5582,N,08033.2059,W,1,9,1.9,21,M,,M,,*54
06/05/2014	06:00:16.736	$GPGGA,060017,2449.5566,N,08033.2077,W,1,9,1.9,21,M,,M,,*53
06/05/2014	06:00:17.720	$GPGGA,060018,2449.5553,N,08033.2099,W,1,9,1.9,20,M,,M,,*5B
06/05/2014	06:00:18.715	$GPGGA,060019,2449.5539,N,08033.2120,W,1,9,1.9,20,M,,M,,*55
06/05/2014	06:00:19.740	$GPGGA,060020,2449.5524,N,08033.2139,W,1,9,1.9,20,M,,M,,*5B
06/05/2014	06:00:20.756	$GPGGA,060021,2449.5508,N,08033.2160,W,1,9,1.9,20,M,,M,,*58
06/05/2014	06:00:21.721	$GPGGA,060022,2449.5495,N,08033.2182,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:22.746	$GPGGA,060023,2449.5481,N,08033.2202,W,1,9,1.9,20,M,,M,,*5D
06/05/2014	06:00:23.750	$GPGGA,060024,2449.5466,N,08033.2222,W,1,9,1.9,20,M,,M,,*51
06/05/2014	06:00:24.765	$GPGGA,060025,2449.5452,N,08033.2241,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:25.750	$GPGGA,060026,2449.5439,N,08033.2263,W,1,9,1.9,20,M,,M,,*5C
06/05/2014	06:00:26.776	$GPGGA,060027,2449.5426,N,08033.2284,W,1,9,1.9,20,M,,M,,*5A
06/05/2014	06:00:27.761	$GPGGA,060028,2449.5412,N,08033.2305,W,1,9,1.9,20,M,,M,,*5A
06/05/2014	06:00:28.766	$GPGGA,060029,2449.5397,N,08033.2323,W,1,8,1.9,20,M,,M,,*54
06/05/2014	06:00:29.761	$GPGGA,060030,2449.5383,N,08033.2345,W,1,8,1.9,20,M,,M,,*59
06/05/2014	06:00:30.766	$GPGGA,060031,2449.5367,N,08033.2366,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:31.772	$GPGGA,060032,2449.5354,N,08033.2388,W,1,9,1.9,20,M,,M,,*51
06/05/2014	06:00:32.476	$GPGGA,060033,2449.5340,N,08033.2408,W,1,9,1.9,20,M,,M,,*5A
06/05/2014	06:00:33.461	$GPGGA,060034,2449.5324,N,08033.2426,W,1,9,1.9,20,M,,M,,*53
06/05/2014	06:00:34.567	$GPGGA,060035,2449.5311,N,08033.2447,W,1,9,1.9,20,M,,M,,*53
06/05/2014	06:00:35.481	$GPGGA,060036,2449.5297,N,08033.2468,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:36.467	$GPGGA,060037,2449.5283,N,08033.2489,W,1,9,1.9,20,M,,M,,*59
06/05/2014	06:00:37.572	$GPGGA,060038,2449.5268,N,08033.2508,W,1,9,1.9,20,M,,M,,*5B
06/05/2014	06:00:38.467	$GPGGA,060039,2449.5254,N,08033.2529,W,1,9,1.9,20,M,,M,,*56
06/05/2014	06:00:39.482	$GPGGA,060040,2449.5240,N,08033.2551,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:40.487	$GPGGA,060041,2449.5226,N,08033.2572,W,1,9,1.9,20,M,,M,,*52
06/05/2014	06:00:41.491	$GPGGA,060042,2449.5211,N,08033.2592,W,1,9,1.9,20,M,,M,,*5B
06/05/2014	06:00:42.587	$GPGGA,060043,2449.5197,N,08033.2612,W,1,8,1.9,20,M,,M,,*5D
06/05/2014	06:00:43.502	$GPGGA,060044,2449.5184,N,08033.2633,W,1,8,1.9,20,M,,M,,*5B
06/05/2014	06:00:44.598	$GPGGA,060045,2449.5170,N,08033.2655,W,1,9,1.9,20,M,,M,,*50
06/05/2014	06:00:45.583	$GPGGA,060046,2449.5156,N,08033.2675,W,1,9,1.9,19,M,,M,,*5F
06/05/2014	06:00:47.653	$GPGGA,060048,2449.5130,N,08033.2717,W,1,8,1.9,19,M,,M,,*55
06/05/2014	06:00:48.630	$GPGGA,060049,2449.5116,N,08033.2738,W,1,9,1.9,19,M,,M,,*5C
06/05/2014	06:00:49.603	$GPGGA,060050,2449.5102,N,08033.2760,W,1,9,1.9,19,M,,M,,*5C
06/05/2014	06:00:50.619	$GPGGA,060051,2449.5090,N,08033.2783,W,1,9,1.9,19,M,,M,,*5A
06/05/2014	06:00:51.624	$GPGGA,060052,2449.5076,N,08033.2805,W,1,9,1.9,19,M,,M,,*50
06/05/2014	06:00:52.619	$GPGGA,060053,2449.5060,N,08033.2827,W,1,9,1.9,19,M,,M,,*56
06/05/2014	06:00:53.614	$GPGGA,060054,2449.5047,N,08033.2850,W,1,9,1.9,19,M,,M,,*54
06/05/2014	06:00:54.629	$GPGGA,060055,2449.5033,N,08033.2872,W,1,9,1.9,19,M,,M,,*56
06/05/2014	06:00:55.635	$GPGGA,060056,2449.5022,N,08033.2891,W,1,9,2.1,19,M,,M,,*53
06/05/2014	06:00:56.640	$GPGGA,060057,2449.5007,N,08033.2910,W,1,8,2.1,19,M,,M,,*5C
06/05/2014	06:00:57.645	$GPGGA,060058,2449.4994,N,08033.2931,W,1,8,1.9,19,M,,M,,*59
06/05/2014	06:00:58.619	$GPGGA,060059,2449.4982,N,08033.2952,W,1,8,1.9,19,M,,M,,*5A
06/05/2014	06:00:59.654	$GPGGA,060100,2449.4965,N,08033.2973,W,1,8,1.9,19,M,,M,,*5D
06/05/2014	06:01:00.660	$GPGGA,060101,2449.4949,N,08033.2995,W,1,9,1.9,19,M,,M,,*5B
06/05/2014	06:01:01.635	$GPGGA,060102,2449.4935,N,08033.3017,W,1,9,1.9,19,M,,M,,*51
06/05/2014	06:01:02.678	$GPGGA,060103,2449.4915,N,08033.3038,W,1,8,2.1,19,M,,M,,*55
06/05/2014	06:01:03.662	$GPGGA,060104,2449.4900,N,08033.3058,W,1,8,1.9,19,M,,M,,*5B
06/05/2014	06:01:04.635	$GPGGA,060105,2449.4888,N,08033.3079,W,1,9,1.9,20,M,,M,,*53
06/05/2014	06:01:05.649	$GPGGA,060106,2449.4874,N,08033.3098,W,1,9,1.9,20,M,,M,,*5C
06/05/2014	06:01:06.672	$GPGGA,060107,2449.4860,N,08033.3116,W,1,9,1.9,20,M,,M,,*5F
06/05/2014	06:01:07.666	$GPGGA,060108,2449.4846,N,08033.3136,W,1,9,1.9,20,M,,M,,*56
06/05/2014	06:01:08.679	$GPGGA,060109,2449.4832,N,08033.3157,W,1,9,1.9,20,M,,M,,*53
06/05/2014	06:01:09.643	$GPGGA,060110,2449.4818,N,08033.3176,W,1,9,1.9,20,M,,M,,*50
06/05/2014	06:01:10.686	$GPGGA,060111,2449.4803,N,08033.3197,W,1,9,1.9,20,M,,M,,*54
06/05/2014	06:01:11.660	$GPGGA,060112,2449.4787,N,08033.3219,W,1,9,1.9,20,M,,M,,*51
06/05/2014	06:01:12.683	$GPGGA,060113,2449.4770,N,08033.3241,W,1,9,1.9,20,M,,M,,*55
06/05/2014	06:01:13.647	$GPGGA,060114,2449.4755,N,08033.3262,W,1,9,1.9,20,M,,M,,*54
06/05/2014	06:01:14.670	$GPGGA,060115,2449.4740,N,08033.3284,W,1,9,1.9,21,M,,M,,*58
06/05/2014	06:01:15.674	$GPGGA,060116,2449.4726,N,08033.3302,W,1,9,1.9,21,M,,M,,*54
06/05/2014	06:01:16.676	$GPGGA,060117,2449.4713,N,08033.3321,W,1,9,1.9,21,M,,M,,*52
06/05/2014	06:01:17.680	$GPGGA,060118,2449.4700,N,08033.3340,W,1,9,1.9,21,M,,M,,*58
06/05/2014	06:01:18.773	$GPGGA,060119,2449.4686,N,08033.3358,W,1,9,1.9,21,M,,M,,*5F
06/05/2014	06:01:19.667	$GPGGA,060120,2449.4672,N,08033.3378,W,1,9,1.9,21,M,,M,,*5C
06/05/2014	06:01:20.690	$GPGGA,060121,2449.4658,N,08033.3401,W,1,8,1.9,21,M,,M,,*5D
06/05/2014	06:01:21.765	$GPGGA,060122,2449.4643,N,08033.3423,W,1,8,1.9,21,M,,M,,*54
06/05/2014	06:01:22.697	$GPGGA,060123,2449.4628,N,08033.3443,W,1,7,2.0,21,M,,M,,*5B
06/05/2014	06:01:23.681	$GPGGA,060124,2449.4614,N,08033.3465,W,1,7,1.9,21,M,,M,,*5D
06/05/2014	06:01:24.694	$GPGGA,060125,2449.4601,N,08033.3486,W,1,9,1.9,21,M,,M,,*5B
06/05/2014	06:01:25.667	$GPGGA,060126,2449.4588,N,08033.3506,W,1,9,2.1,21,M,,M,,*58
06/05/2014	06:01:26.801	$GPGGA,060127,2449.4575,N,08033.3526,W,1,8,2.1,22,M,,M,,*5B
06/05/2014	06:01:27.805	$GPGGA,060128,2449.4563,N,08033.3544,W,1,8,1.9,22,M,,M,,*5C
06/05/2014	06:01:28.808	$GPGGA,060129,2449.4552,N,08033.3563,W,1,9,1.9,22,M,,M,,*5B
06/05/2014	06:01:29.782	$GPGGA,060130,2449.4538,N,08033.3584,W,1,9,1.9,22,M,,M,,*56
06/05/2014	06:01:30.775	$GPGGA,060131,2449.4524,N,08033.3605,W,1,9,1.9,22,M,,M,,*50
06/05/2014	06:01:31.709	$GPGGA,060132,2449.4509,N,08033.3625,W,1,9,1.9,22,M,,M,,*5E
06/05/2014	06:01:32.434	$GPGGA,060133,2449.4494,N,08033.3649,W,1,9,1.9,22,M,,M,,*50
06/05/2014	06:01:33.436	$GPGGA,060134,2449.4480,N,08033.3674,W,1,9,1.9,22,M,,M,,*5C
06/05/2014	06:01:34.560	$GPGGA,060135,2449.4463,N,08033.3696,W,1,8,1.9,22,M,,M,,*5D
06/05/2014	06:01:35.544	$GPGGA,060136,2449.4449,N,08033.3717,W,1,8,1.9,22,M,,M,,*5E
06/05/2014	06:01:36.449	$GPGGA,060137,2449.4435,N,08033.3739,W,1,9,1.9,22,M,,M,,*59
06/05/2014	06:01:37.531	$GPGGA,060138,2449.4423,N,08033.3758,W,1,9,1.9,22,M,,M,,*56
06/05/2014	06:01:38.564	$GPGGA,060139,2449.4409,N,08033.3777,W,1,9,1.9,22,M,,M,,*52
06/05/2014	06:01:39.548	$GPGGA,060140,2449.4394,N,08033.3797,W,1,9,2.2,22,M,,M,,*59
06/05/2014	06:01:40.575	$GPGGA,060141,2449.4382,N,08033.3818,W,1,8,1.9,22,M,,M,,*5E
06/05/2014	06:01:41.535	$GPGGA,060142,2449.4368,N,08033.3840,W,1,8,1.9,22,M,,M,,*54
06/05/2014	06:01:42.558	$GPGGA,060143,2449.4351,N,08033.3860,W,1,9,1.9,22,M,,M,,*5C
06/05/2014	06:01:43.562	$GPGGA,060144,2449.4337,N,08033.3884,W,1,9,1.9,22,M,,M,,*51
06/05/2014	06:01:44.545	$GPGGA,060145,2449.4322,N,08033.3906,W,1,8,1.9,22,M,,M,,*5E
