Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/10/2014	16:00:00.008	$GPGGA,160000,2558.1008,N,08004.6067,W,1,9,1.8,17,M,,M,,*59
06/10/2014	16:00:00.913	$GPGGA,160001,2558.0986,N,08004.6067,W,1,9,1.8,17,M,,M,,*56
06/10/2014	16:00:02.034	$GPGGA,160002,2558.0965,N,08004.6067,W,1,9,1.8,17,M,,M,,*58
06/10/2014	16:00:02.935	$GPGGA,160003,2558.0943,N,08004.6069,W,1,9,1.8,17,M,,M,,*53
06/10/2014	16:00:03.998	$GPGGA,160004,2558.0921,N,08004.6068,W,1,9,1.8,17,M,,M,,*51
06/10/2014	16:00:04.946	$GPGGA,160005,2558.0900,N,08004.6069,W,1,9,1.8,17,M,,M,,*52
06/10/2014	16:00:05.988	$GPGGA,160006,2558.0878,N,08004.6068,W,1,9,1.8,17,M,,M,,*5E
06/10/2014	16:00:07.043	$GPGGA,160007,2558.0855,N,08004.6069,W,1,9,1.8,17,M,,M,,*51
06/10/2014	16:00:08.035	$GPGGA,160008,2558.0833,N,08004.6068,W,1,9,1.8,17,M,,M,,*5F
06/10/2014	16:00:09.079	$GPGGA,160009,2558.0811,N,08004.6069,W,1,9,1.8,17,M,,M,,*5F
06/10/2014	16:00:10.029	$GPGGA,160010,2558.0789,N,08004.6068,W,1,9,1.8,17,M,,M,,*58
06/10/2014	16:00:11.093	$GPGGA,160011,2558.0767,N,08004.6069,W,1,9,1.8,17,M,,M,,*58
06/10/2014	16:00:12.141	$GPGGA,160012,2558.0745,N,08004.6068,W,1,9,1.8,17,M,,M,,*5A
06/10/2014	16:00:13.112	$GPGGA,160013,2558.0723,N,08004.6067,W,1,9,1.8,17,M,,M,,*54
06/10/2014	16:00:14.031	$GPGGA,160014,2558.0701,N,08004.6067,W,1,9,1.8,17,M,,M,,*53
06/10/2014	16:00:15.153	$GPGGA,160015,2558.0679,N,08004.6066,W,1,9,2.0,16,M,,M,,*57
06/10/2014	16:00:16.093	$GPGGA,160016,2558.0658,N,08004.6066,W,1,9,2.0,16,M,,M,,*57
06/10/2014	16:00:17.166	$GPGGA,160017,2558.0636,N,08004.6065,W,1,8,2.0,16,M,,M,,*5C
06/10/2014	16:00:18.084	$GPGGA,160018,2558.0614,N,08004.6064,W,1,8,1.8,16,M,,M,,*59
06/10/2014	16:00:19.173	$GPGGA,160019,2558.0591,N,08004.6063,W,1,9,1.8,16,M,,M,,*50
06/10/2014	16:00:20.126	$GPGGA,160020,2558.0569,N,08004.6062,W,1,9,1.8,16,M,,M,,*5C
06/10/2014	16:00:21.179	$GPGGA,160021,2558.0547,N,08004.6061,W,1,9,1.8,16,M,,M,,*52
06/10/2014	16:00:22.147	$GPGGA,160022,2558.0525,N,08004.6060,W,1,9,1.8,16,M,,M,,*54
06/10/2014	16:00:23.200	$GPGGA,160023,2558.0503,N,08004.6059,W,1,9,1.8,16,M,,M,,*5B
06/10/2014	16:00:24.168	$GPGGA,160024,2558.0481,N,08004.6058,W,1,9,1.8,16,M,,M,,*56
06/10/2014	16:00:25.199	$GPGGA,160025,2558.0459,N,08004.6057,W,1,9,1.8,16,M,,M,,*5D
06/10/2014	16:00:26.229	$GPGGA,160026,2558.0437,N,08004.6056,W,1,9,1.8,16,M,,M,,*57
06/10/2014	16:00:27.290	$GPGGA,160027,2558.0415,N,08004.6054,W,1,9,1.8,16,M,,M,,*54
06/10/2014	16:00:28.271	$GPGGA,160028,2558.0394,N,08004.6053,W,1,9,1.8,16,M,,M,,*52
06/10/2014	16:00:29.302	$GPGGA,160029,2558.0372,N,08004.6051,W,1,9,1.8,16,M,,M,,*59
06/10/2014	16:00:30.262	$GPGGA,160030,2558.0350,N,08004.6050,W,1,9,1.8,15,M,,M,,*53
06/10/2014	16:00:31.293	$GPGGA,160031,2558.0329,N,08004.6048,W,1,9,1.8,15,M,,M,,*55
06/10/2014	16:00:32.293	$GPGGA,160032,2558.0307,N,08004.6047,W,1,9,1.8,15,M,,M,,*55
06/10/2014	16:00:33.355	$GPGGA,160033,2558.0284,N,08004.6046,W,1,9,1.8,15,M,,M,,*5F
06/10/2014	16:00:34.295	$GPGGA,160034,2558.0262,N,08004.6044,W,1,9,1.8,15,M,,M,,*52
06/10/2014	16:00:35.356	$GPGGA,160035,2558.0240,N,08004.6043,W,1,9,1.8,15,M,,M,,*54
06/10/2014	16:00:36.351	$GPGGA,160036,2558.0218,N,08004.6042,W,1,9,1.8,15,M,,M,,*5B
06/10/2014	16:00:37.407	$GPGGA,160037,2558.0196,N,08004.6041,W,1,9,1.8,15,M,,M,,*5C
06/10/2014	16:00:38.327	$GPGGA,160038,2558.0174,N,08004.6040,W,1,9,1.8,15,M,,M,,*5E
06/10/2014	16:00:39.383	$GPGGA,160039,2558.0152,N,08004.6039,W,1,9,2.0,15,M,,M,,*5E
06/10/2014	16:00:40.369	$GPGGA,160040,2558.0130,N,08004.6038,W,1,9,2.0,15,M,,M,,*55
06/10/2014	16:00:41.410	$GPGGA,160041,2558.0107,N,08004.6037,W,1,8,2.0,15,M,,M,,*5E
