Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/09/2014	14:00:00.749	$GPGGA,140000,2516.8027,N,08005.1105,W,1,9,1.6,19,M,,M,,*56
06/09/2014	14:00:01.816	$GPGGA,140001,2516.8035,N,08005.1117,W,1,9,1.6,19,M,,M,,*57
06/09/2014	14:00:02.755	$GPGGA,140002,2516.8042,N,08005.1128,W,1,9,1.9,19,M,,M,,*57
06/09/2014	14:00:03.802	$GPGGA,140003,2516.8042,N,08005.1128,W,1,7,2.0,19,M,,M,,*52
06/09/2014	14:00:04.943	$GPGGA,140004,2516.8056,N,08005.1152,W,1,7,1.9,19,M,,M,,*57
06/09/2014	14:00:05.999	$GPGGA,140005,2516.8066,N,08005.1163,W,1,8,1.9,19,M,,M,,*58
06/09/2014	14:00:06.950	$GPGGA,140006,2516.8073,N,08005.1175,W,1,8,1.9,19,M,,M,,*58
06/09/2014	14:00:08.007	$GPGGA,140007,2516.8078,N,08005.1188,W,1,8,1.9,19,M,,M,,*50
06/09/2014	14:00:09.165	$GPGGA,140008,2516.8085,N,08005.1199,W,1,8,1.9,19,M,,M,,*5D
06/09/2014	14:00:10.236	$GPGGA,140009,2516.8093,N,08005.1210,W,1,8,1.9,19,M,,M,,*59
06/09/2014	14:00:11.271	$GPGGA,140010,2516.8100,N,08005.1221,W,1,8,1.9,19,M,,M,,*58
06/09/2014	14:00:12.349	$GPGGA,140011,2516.8107,N,08005.1229,W,1,8,1.9,19,M,,M,,*56
06/09/2014	14:00:13.406	$GPGGA,140012,2516.8114,N,08005.1240,W,1,8,1.6,19,M,,M,,*57
06/09/2014	14:00:14.447	$GPGGA,140013,2516.8122,N,08005.1250,W,1,9,1.6,19,M,,M,,*53
06/09/2014	14:00:15.478	$GPGGA,140014,2516.8129,N,08005.1261,W,1,9,1.6,19,M,,M,,*5D
06/09/2014	14:00:16.554	$GPGGA,140015,2516.8138,N,08005.1272,W,1,9,1.6,19,M,,M,,*5E
06/09/2014	14:00:17.600	$GPGGA,140016,2516.8147,N,08005.1283,W,1,9,1.6,19,M,,M,,*5B
06/09/2014	14:00:18.678	$GPGGA,140017,2516.8154,N,08005.1293,W,1,8,1.9,19,M,,M,,*57
06/09/2014	14:00:19.693	$GPGGA,140018,2516.8163,N,08005.1301,W,1,8,1.6,19,M,,M,,*59
06/09/2014	14:00:20.760	$GPGGA,140019,2516.8172,N,08005.1309,W,1,9,1.6,19,M,,M,,*51
06/09/2014	14:00:21.827	$GPGGA,140020,2516.8182,N,08005.1319,W,1,9,1.6,19,M,,M,,*55
06/09/2014	14:00:22.896	$GPGGA,140021,2516.8190,N,08005.1327,W,1,9,1.6,19,M,,M,,*5A
06/09/2014	14:00:23.919	$GPGGA,140022,2516.8200,N,08005.1338,W,1,9,1.6,19,M,,M,,*5D
06/09/2014	14:00:24.996	$GPGGA,140023,2516.8210,N,08005.1348,W,1,8,1.9,19,M,,M,,*54
06/09/2014	14:00:26.042	$GPGGA,140024,2516.8219,N,08005.1359,W,1,8,1.9,20,M,,M,,*50
06/09/2014	14:00:27.132	$GPGGA,140025,2516.8230,N,08005.1369,W,1,8,1.9,20,M,,M,,*59
06/09/2014	14:00:28.144	$GPGGA,140026,2516.8240,N,08005.1380,W,1,8,1.9,20,M,,M,,*5A
06/09/2014	14:00:29.180	$GPGGA,140027,2516.8250,N,08005.1389,W,1,8,1.9,20,M,,M,,*53
06/09/2014	14:00:30.268	$GPGGA,140028,2516.8261,N,08005.1399,W,1,8,1.9,20,M,,M,,*5F
06/09/2014	14:00:31.314	$GPGGA,140029,2516.8272,N,08005.1409,W,1,8,1.9,20,M,,M,,*52
06/09/2014	14:00:32.360	$GPGGA,140030,2516.8281,N,08005.1418,W,1,8,1.6,19,M,,M,,*53
06/09/2014	14:00:33.438	$GPGGA,140031,2516.8294,N,08005.1427,W,1,9,1.6,19,M,,M,,*5B
06/09/2014	14:00:34.473	$GPGGA,140032,2516.8305,N,08005.1436,W,1,9,1.6,19,M,,M,,*51
06/09/2014	14:00:35.530	$GPGGA,140033,2516.8316,N,08005.1445,W,1,8,1.9,19,M,,M,,*58
06/09/2014	14:00:36.671	$GPGGA,140034,2516.8329,N,08005.1452,W,1,8,1.9,19,M,,M,,*55
06/09/2014	14:00:37.611	$GPGGA,140035,2516.8341,N,08005.1460,W,1,9,1.6,19,M,,M,,*55
06/09/2014	14:00:38.689	$GPGGA,140036,2516.8353,N,08005.1468,W,1,9,1.6,19,M,,M,,*5D
06/09/2014	14:00:39.746	$GPGGA,140037,2516.8364,N,08005.1475,W,1,8,1.9,19,M,,M,,*5A
06/09/2014	14:00:40.887	$GPGGA,140038,2516.8378,N,08005.1483,W,1,8,1.6,19,M,,M,,*5E
06/09/2014	14:00:41.881	$GPGGA,140039,2516.8389,N,08005.1492,W,1,9,1.6,19,M,,M,,*50
06/09/2014	14:00:39.608	$GPGGA,140040,2516.8402,N,08005.1499,W,1,9,1.9,19,M,,M,,*5E
06/09/2014	14:00:40.556	$GPGGA,140041,2516.8416,N,08005.1507,W,1,9,1.6,19,M,,M,,*53
06/09/2014	14:00:41.602	$GPGGA,140042,2516.8428,N,08005.1514,W,1,9,1.6,19,M,,M,,*5F
06/09/2014	14:00:42.764	$GPGGA,140043,2516.8442,N,08005.1521,W,1,9,1.6,19,M,,M,,*54
06/09/2014	14:00:43.736	$GPGGA,140044,2516.8456,N,08005.1528,W,1,9,1.6,19,M,,M,,*5F
06/09/2014	14:00:44.782	$GPGGA,140045,2516.8468,N,08005.1535,W,1,9,1.6,19,M,,M,,*5F
06/09/2014	14:00:45.828	$GPGGA,140046,2516.8482,N,08005.1543,W,1,9,1.6,19,M,,M,,*59
06/09/2014	14:00:46.980	$GPGGA,140047,2516.8496,N,08005.1550,W,1,9,1.6,19,M,,M,,*5F
06/09/2014	14:00:48.058	$GPGGA,140048,2516.8511,N,08005.1555,W,1,9,1.6,19,M,,M,,*5B
06/09/2014	14:00:49.125	$GPGGA,140049,2516.8523,N,08005.1562,W,1,9,1.6,19,M,,M,,*5F
06/09/2014	14:00:50.139	$GPGGA,140050,2516.8539,N,08005.1568,W,1,9,1.6,19,M,,M,,*56
06/09/2014	14:00:51.217	$GPGGA,140051,2516.8554,N,08005.1575,W,1,9,1.6,19,M,,M,,*50
