Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/11/2014	08:00:00.728	$GPGGA,080001,2543.8842,N,08009.7276,W,1,9,1.5,17,M,,M,,*51
06/11/2014	08:00:01.719	$GPGGA,080002,2543.8841,N,08009.7275,W,1,9,1.5,17,M,,M,,*52
06/11/2014	08:00:02.741	$GPGGA,080003,2543.8842,N,08009.7276,W,1,9,1.5,17,M,,M,,*53
06/11/2014	08:00:03.762	$GPGGA,080004,2543.8843,N,08009.7274,W,1,9,1.5,17,M,,M,,*57
06/11/2014	08:00:04.763	$GPGGA,080005,2543.8842,N,08009.7274,W,1,9,1.5,17,M,,M,,*57
06/11/2014	08:00:05.744	$GPGGA,080006,2543.8843,N,08009.7274,W,1,9,1.5,17,M,,M,,*55
06/11/2014	08:00:06.756	$GPGGA,080007,2543.8842,N,08009.7274,W,1,9,1.5,17,M,,M,,*55
06/11/2014	08:00:07.909	$GPGGA,080008,2543.8844,N,08009.7274,W,1,9,1.5,17,M,,M,,*5C
06/11/2014	08:00:08.768	$GPGGA,080009,2543.8844,N,08009.7273,W,1,9,1.5,17,M,,M,,*5A
06/11/2014	08:00:09.901	$GPGGA,080010,2543.8844,N,08009.7274,W,1,9,1.5,17,M,,M,,*55
06/11/2014	08:00:10.801	$GPGGA,080011,2543.8844,N,08009.7274,W,1,9,1.5,17,M,,M,,*54
06/11/2014	08:00:11.934	$GPGGA,080012,2543.8844,N,08009.7274,W,1,9,1.7,17,M,,M,,*55
06/11/2014	08:00:12.834	$GPGGA,080013,2543.8844,N,08009.7276,W,1,8,1.7,17,M,,M,,*57
06/11/2014	08:00:13.815	$GPGGA,080014,2543.8844,N,08009.7275,W,1,8,1.7,17,M,,M,,*53
06/11/2014	08:00:14.956	$GPGGA,080015,2543.8844,N,08009.7276,W,1,8,1.7,17,M,,M,,*51
06/11/2014	08:00:15.866	$GPGGA,080016,2543.8842,N,08009.7275,W,1,8,1.7,17,M,,M,,*57
06/11/2014	08:00:16.959	$GPGGA,080017,2543.8843,N,08009.7276,W,1,8,1.7,17,M,,M,,*54
