Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/09/2014	19:00:00.734	$GPGGA,190001,2529.9910,N,08002.1805,W,1,11,1.4,17,M,,M,,*61
06/09/2014	19:00:01.751	$GPGGA,190002,2529.9945,N,08002.1801,W,1,11,1.4,18,M,,M,,*69
06/09/2014	19:00:02.749	$GPGGA,190003,2529.9978,N,08002.1798,W,1,11,1.4,18,M,,M,,*69
06/09/2014	19:00:03.760	$GPGGA,190004,2530.0013,N,08002.1794,W,1,11,1.4,18,M,,M,,*67
06/09/2014	19:00:04.891	$GPGGA,190005,2530.0047,N,08002.1790,W,1,11,1.4,18,M,,M,,*63
06/09/2014	19:00:05.759	$GPGGA,190006,2530.0080,N,08002.1786,W,1,11,1.4,18,M,,M,,*6C
06/09/2014	19:00:06.860	$GPGGA,190007,2530.0115,N,08002.1781,W,1,11,1.4,18,M,,M,,*67
06/09/2014	19:00:07.802	$GPGGA,190008,2530.0148,N,08002.1776,W,1,11,1.4,18,M,,M,,*68
06/09/2014	19:00:08.905	$GPGGA,190009,2530.0183,N,08002.1771,W,1,11,1.4,18,M,,M,,*69
06/09/2014	19:00:09.798	$GPGGA,190010,2530.0217,N,08002.1766,W,1,11,1.4,18,M,,M,,*69
06/09/2014	19:00:10.909	$GPGGA,190011,2530.0252,N,08002.1760,W,1,11,1.4,18,M,,M,,*6F
06/09/2014	19:00:11.830	$GPGGA,190012,2530.0285,N,08002.1755,W,1,11,1.4,18,M,,M,,*60
06/09/2014	19:00:12.917	$GPGGA,190013,2530.0320,N,08002.1749,W,1,11,1.4,18,M,,M,,*62
06/09/2014	19:00:13.927	$GPGGA,190014,2530.0354,N,08002.1743,W,1,11,1.4,18,M,,M,,*6C
06/09/2014	19:00:14.936	$GPGGA,190015,2530.0387,N,08002.1737,W,1,11,1.4,18,M,,M,,*60
06/09/2014	19:00:15.956	$GPGGA,190016,2530.0422,N,08002.1731,W,1,11,1.4,18,M,,M,,*6D
06/09/2014	19:00:16.956	$GPGGA,190017,2530.0455,N,08002.1725,W,1,11,1.4,18,M,,M,,*69
