Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/01/2014	17:00:00.716	$GPGGA,170009,2438.7498,N,07944.6030,W,1,9,2.0,14,M,,M,,*55
06/01/2014	17:00:01.675	$GPGGA,170010,2438.7497,N,07944.6037,W,1,9,2.0,14,M,,M,,*55
06/01/2014	17:00:02.723	$GPGGA,170011,2438.7496,N,07944.6044,W,1,8,2.0,14,M,,M,,*50
06/01/2014	17:00:03.622	$GPGGA,170012,2438.7497,N,07944.6051,W,1,8,2.0,14,M,,M,,*56
06/01/2014	17:00:04.701	$GPGGA,170013,2438.7498,N,07944.6059,W,1,9,2.0,14,M,,M,,*51
06/01/2014	17:00:05.650	$GPGGA,170014,2438.7497,N,07944.6067,W,1,9,2.0,14,M,,M,,*54
06/01/2014	17:00:06.689	$GPGGA,170015,2438.7496,N,07944.6077,W,1,9,2.0,14,M,,M,,*55
06/01/2014	17:00:07.610	$GPGGA,170016,2438.7495,N,07944.6084,W,1,9,2.0,14,M,,M,,*59
06/01/2014	17:00:08.707	$GPGGA,170017,2438.7495,N,07944.6094,W,1,9,2.0,14,M,,M,,*59
06/01/2014	17:00:09.625	$GPGGA,170018,2438.7495,N,07944.6102,W,1,9,2.0,14,M,,M,,*58
06/01/2014	17:00:10.693	$GPGGA,170019,2438.7493,N,07944.6111,W,1,9,2.0,14,M,,M,,*5D
06/01/2014	17:00:11.632	$GPGGA,170020,2438.7492,N,07944.6120,W,1,9,2.0,14,M,,M,,*54
