Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/11/2014	23:00:00.101	$GPGGA,230009,2531.0145,N,08004.9825,W,1,10,1.9,16,M,,M,,*69
06/11/2014	23:00:01.064	$GPGGA,230010,2531.0137,N,08004.9826,W,1,10,1.9,16,M,,M,,*67
06/11/2014	23:00:02.127	$GPGGA,230011,2531.0130,N,08004.9824,W,1,10,1.9,16,M,,M,,*63
06/11/2014	23:00:03.142	$GPGGA,230012,2531.0123,N,08004.9823,W,1,10,1.9,16,M,,M,,*65
06/11/2014	23:00:04.161	$GPGGA,230013,2531.0116,N,08004.9823,W,1,10,1.9,16,M,,M,,*62
06/11/2014	23:00:05.136	$GPGGA,230014,2531.0109,N,08004.9822,W,1,10,1.9,16,M,,M,,*6A
06/11/2014	23:00:06.135	$GPGGA,230015,2531.0101,N,08004.9823,W,1,10,1.9,16,M,,M,,*62
06/11/2014	23:00:07.182	$GPGGA,230016,2531.0095,N,08004.9822,W,1,10,1.9,16,M,,M,,*6C
06/11/2014	23:00:08.144	$GPGGA,230017,2531.0088,N,08004.9821,W,1,10,1.9,16,M,,M,,*62
06/11/2014	23:00:09.179	$GPGGA,230018,2531.0081,N,08004.9821,W,1,10,1.9,15,M,,M,,*67
06/11/2014	23:00:10.274	$GPGGA,230019,2531.0074,N,08004.9821,W,1,10,1.9,15,M,,M,,*6C
06/11/2014	23:00:11.207	$GPGGA,230020,2531.0066,N,08004.9821,W,1,10,1.9,15,M,,M,,*65
06/11/2014	23:00:12.321	$GPGGA,230021,2531.0060,N,08004.9821,W,1,10,1.9,15,M,,M,,*62
06/11/2014	23:00:13.315	$GPGGA,230022,2531.0053,N,08004.9821,W,1,10,1.9,15,M,,M,,*61
06/11/2014	23:00:14.218	$GPGGA,230023,2531.0047,N,08004.9821,W,1,10,1.9,15,M,,M,,*65
06/11/2014	23:00:15.364	$GPGGA,230024,2531.0040,N,08004.9821,W,1,10,1.9,15,M,,M,,*65
06/11/2014	23:00:16.257	$GPGGA,230025,2531.0033,N,08004.9821,W,1,10,1.9,15,M,,M,,*60
06/11/2014	23:00:17.362	$GPGGA,230026,2531.0025,N,08004.9821,W,1,10,1.9,15,M,,M,,*64
06/11/2014	23:00:18.377	$GPGGA,230027,2531.0018,N,08004.9821,W,1,10,1.9,15,M,,M,,*6B
06/11/2014	23:00:19.402	$GPGGA,230028,2531.0011,N,08004.9821,W,1,10,1.9,15,M,,M,,*6D
06/11/2014	23:00:20.304	$GPGGA,230029,2531.0004,N,08004.9821,W,1,10,1.9,15,M,,M,,*68
06/11/2014	23:00:21.420	$GPGGA,230030,2530.9995,N,08004.9819,W,1,10,1.6,15,M,,M,,*6D
06/11/2014	23:00:22.322	$GPGGA,230031,2530.9988,N,08004.9818,W,1,10,1.6,15,M,,M,,*61
06/11/2014	23:00:23.479	$GPGGA,230032,2530.9982,N,08004.9815,W,1,10,1.6,15,M,,M,,*65
06/11/2014	23:00:24.452	$GPGGA,230033,2530.9975,N,08004.9816,W,1,10,1.6,15,M,,M,,*6F
06/11/2014	23:00:25.457	$GPGGA,230034,2530.9967,N,08004.9814,W,1,10,1.6,15,M,,M,,*69
06/11/2014	23:00:26.463	$GPGGA,230035,2530.9961,N,08004.9814,W,1,10,1.5,15,M,,M,,*6D
06/11/2014	23:00:27.516	$GPGGA,230036,2530.9953,N,08004.9812,W,1,10,1.6,15,M,,M,,*6A
06/11/2014	23:00:28.510	$GPGGA,230037,2530.9947,N,08004.9813,W,1,10,1.5,16,M,,M,,*6F
06/11/2014	23:00:29.515	$GPGGA,230038,2530.9939,N,08004.9812,W,1,10,1.6,16,M,,M,,*6B
06/11/2014	23:00:30.521	$GPGGA,230039,2530.9931,N,08004.9810,W,1,10,1.6,16,M,,M,,*60
06/11/2014	23:00:31.562	$GPGGA,230040,2530.9924,N,08004.9809,W,1,10,1.6,16,M,,M,,*62
06/11/2014	23:00:32.566	$GPGGA,230041,2530.9917,N,08004.9809,W,1,10,1.5,16,M,,M,,*60
06/11/2014	23:00:33.557	$GPGGA,230042,2530.9911,N,08004.9810,W,1,10,1.5,17,M,,M,,*6C
06/11/2014	23:00:34.584	$GPGGA,230043,2530.9904,N,08004.9810,W,1,11,1.5,17,M,,M,,*68
06/11/2014	23:00:35.609	$GPGGA,230044,2530.9897,N,08004.9810,W,1,11,1.5,17,M,,M,,*64
06/11/2014	23:00:36.613	$GPGGA,230045,2530.9890,N,08004.9810,W,1,11,1.5,17,M,,M,,*62
06/11/2014	23:00:36.750	$GPGGA,230046,2530.9883,N,08004.9810,W,1,11,1.5,17,M,,M,,*63
06/11/2014	23:00:37.795	$GPGGA,230047,2530.9876,N,08004.9812,W,1,11,1.5,18,M,,M,,*65
06/11/2014	23:00:38.790	$GPGGA,230048,2530.9868,N,08004.9811,W,1,11,1.6,18,M,,M,,*65
06/11/2014	23:00:39.773	$GPGGA,230049,2530.9860,N,08004.9810,W,1,10,1.6,18,M,,M,,*6C
06/11/2014	23:00:40.791	$GPGGA,230050,2530.9852,N,08004.9810,W,1,10,1.6,18,M,,M,,*65
06/11/2014	23:00:41.788	$GPGGA,230051,2530.9845,N,08004.9810,W,1,10,1.6,19,M,,M,,*63
06/11/2014	23:00:42.818	$GPGGA,230052,2530.9838,N,08004.9812,W,1,10,1.5,19,M,,M,,*6B
06/11/2014	23:00:43.832	$GPGGA,230053,2530.9830,N,08004.9811,W,1,11,1.5,19,M,,M,,*60
06/11/2014	23:00:44.819	$GPGGA,230054,2530.9823,N,08004.9812,W,1,11,1.5,19,M,,M,,*66
06/11/2014	23:00:45.826	$GPGGA,230055,2530.9816,N,08004.9811,W,1,11,1.5,19,M,,M,,*62
06/11/2014	23:00:46.871	$GPGGA,230056,2530.9807,N,08004.9812,W,1,11,1.5,19,M,,M,,*62
06/11/2014	23:00:47.854	$GPGGA,230057,2530.9800,N,08004.9811,W,1,11,1.5,19,M,,M,,*67
06/11/2014	23:00:48.835	$GPGGA,230058,2530.9794,N,08004.9812,W,1,11,1.5,19,M,,M,,*69
06/11/2014	23:00:49.821	$GPGGA,230059,2530.9785,N,08004.9812,W,1,11,1.5,20,M,,M,,*62
06/11/2014	23:00:50.969	$GPGGA,230100,2530.9778,N,08004.9813,W,1,11,1.5,20,M,,M,,*6C
06/11/2014	23:00:51.946	$GPGGA,230101,2530.9770,N,08004.9813,W,1,11,1.5,20,M,,M,,*65
06/11/2014	23:00:52.832	$GPGGA,230102,2530.9763,N,08004.9814,W,1,11,1.5,20,M,,M,,*63
06/11/2014	23:00:53.849	$GPGGA,230103,2530.9756,N,08004.9814,W,1,11,1.5,20,M,,M,,*64
06/11/2014	23:00:54.976	$GPGGA,230104,2530.9749,N,08004.9816,W,1,11,1.5,20,M,,M,,*6F
06/11/2014	23:00:55.882	$GPGGA,230105,2530.9741,N,08004.9815,W,1,11,1.6,20,M,,M,,*66
06/11/2014	23:00:56.859	$GPGGA,230106,2530.9733,N,08004.9816,W,1,11,1.6,20,M,,M,,*63
06/11/2014	23:00:57.886	$GPGGA,230107,2530.9726,N,08004.9815,W,1,10,1.5,20,M,,M,,*67
06/11/2014	23:00:58.903	$GPGGA,230108,2530.9719,N,08004.9816,W,1,10,1.5,20,M,,M,,*67
06/11/2014	23:00:59.970	$GPGGA,230109,2530.9711,N,08004.9815,W,1,11,1.6,20,M,,M,,*6F
06/11/2014	23:01:00.896	$GPGGA,230110,2530.9704,N,08004.9816,W,1,11,1.5,20,M,,M,,*63
06/11/2014	23:01:02.014	$GPGGA,230111,2530.9697,N,08004.9816,W,1,11,1.5,20,M,,M,,*69
06/11/2014	23:01:03.011	$GPGGA,230112,2530.9690,N,08004.9816,W,1,11,1.5,20,M,,M,,*6D
06/11/2014	23:01:04.006	$GPGGA,230113,2530.9682,N,08004.9816,W,1,11,1.5,21,M,,M,,*6E
06/11/2014	23:01:04.993	$GPGGA,230114,2530.9675,N,08004.9816,W,1,11,1.5,21,M,,M,,*61
06/11/2014	23:01:06.020	$GPGGA,230115,2530.9668,N,08004.9816,W,1,11,1.5,21,M,,M,,*6C
06/11/2014	23:01:07.027	$GPGGA,230116,2530.9660,N,08004.9815,W,1,11,1.5,21,M,,M,,*64
06/11/2014	23:01:08.053	$GPGGA,230117,2530.9653,N,08004.9814,W,1,11,1.5,21,M,,M,,*64
06/11/2014	23:01:09.010	$GPGGA,230118,2530.9646,N,08004.9814,W,1,11,1.5,21,M,,M,,*6F
06/11/2014	23:01:10.047	$GPGGA,230119,2530.9639,N,08004.9813,W,1,11,1.5,21,M,,M,,*61
06/11/2014	23:01:11.034	$GPGGA,230120,2530.9630,N,08004.9812,W,1,11,1.5,21,M,,M,,*63
06/11/2014	23:01:12.050	$GPGGA,230121,2530.9623,N,08004.9812,W,1,11,1.5,21,M,,M,,*60
06/11/2014	23:01:13.047	$GPGGA,230122,2530.9617,N,08004.9811,W,1,11,1.5,21,M,,M,,*67
06/11/2014	23:01:14.059	$GPGGA,230123,2530.9608,N,08004.9810,W,1,11,1.5,21,M,,M,,*69
06/11/2014	23:01:15.062	$GPGGA,230124,2530.9601,N,08004.9809,W,1,11,1.5,21,M,,M,,*6F
06/11/2014	23:01:16.066	$GPGGA,230125,2530.9593,N,08004.9808,W,1,11,1.5,21,M,,M,,*67
06/11/2014	23:01:17.049	$GPGGA,230126,2530.9585,N,08004.9807,W,1,11,1.5,21,M,,M,,*6C
06/11/2014	23:01:18.079	$GPGGA,230127,2530.9578,N,08004.9806,W,1,11,1.5,21,M,,M,,*6E
06/11/2014	23:01:19.074	$GPGGA,230128,2530.9571,N,08004.9804,W,1,11,1.5,21,M,,M,,*6A
