Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 0	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/12/2014	12:00:00.582	$GPGGA,120001,2543.8840,N,08009.7275,W,1,8,1.9,13,M,,M,,*52
06/12/2014	12:00:01.619	$GPGGA,120002,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*50
06/12/2014	12:00:02.664	$GPGGA,120003,2543.8841,N,08009.7276,W,1,8,1.9,13,M,,M,,*52
06/12/2014	12:00:03.720	$GPGGA,120004,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*56
06/12/2014	12:00:04.685	$GPGGA,120005,2543.8843,N,08009.7276,W,1,8,1.9,13,M,,M,,*56
06/12/2014	12:00:05.681	$GPGGA,120006,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*54
06/12/2014	12:00:06.707	$GPGGA,120007,2543.8841,N,08009.7276,W,1,8,1.9,13,M,,M,,*56
06/12/2014	12:00:07.713	$GPGGA,120008,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*5A
06/12/2014	12:00:08.718	$GPGGA,120009,2543.8841,N,08009.7276,W,1,8,1.9,13,M,,M,,*58
06/12/2014	12:00:09.693	$GPGGA,120010,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*53
06/12/2014	12:00:10.719	$GPGGA,120011,2543.8841,N,08009.7276,W,1,8,1.9,13,M,,M,,*51
06/12/2014	12:00:11.724	$GPGGA,120012,2543.8842,N,08009.7276,W,1,8,1.9,13,M,,M,,*51
06/12/2014	12:00:12.729	$GPGGA,120013,2543.8841,N,08009.7276,W,1,8,1.9,13,M,,M,,*53
