cruise,haulno,transect.id,physicaldatafilename,haul,area,tow,region,,,,,,,,,
OSTRICH 2014,ISIIS-052,OST14-L11-Und,ISIIS201406082341.txt,52,L1,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-053,OST14-L11-S,ISIIS201406090023.txt,53,L1,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-054,OST14-L12-Und,ISIIS201406090520.txt,54,L1,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-055,OST14-L12-S,ISIIS201406090637.txt,55,L1,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-056,OST14-L13-Und,ISIIS201406091106.txt,56,L1,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-057,OST14-L13-S,ISIIS201406091210.txt,57,L1,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-058,OST14-L14-Und,ISIIS201406091726.txt,58,L1,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-059,OST14-L14-S,ISIIS201406091835.txt,59,L1,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-060,OST14-Eddy-Und,ISIIS201406100322.txt,60,eddy,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-061,OST14-Eddy-S1,ISIIS201406100633.txt,61,eddy,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-062,OST14-Eddy-S2,ISIIS201406100705.txt,61,eddy,s,sof,,,,,,,,,
OSTRICH 2014,ISIIS-063,OST14-DVM,ISIIS201406121612.txt,62,dvm,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-063,OST14-DVM,ISIIS201406130542.txt,62,dvm,und,sof,,,,,,,,,
OSTRICH 2014,ISIIS-064,OST14-DVM-Return,ISIIS201406140242.txt,63,dvm,und,sof,,,,,,,,,
OSTRICH 2015,ISIIS-101,OST15-Eddy-1-X,ISIIS201506102125.txt,101,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-102,OST15-Eddy-2-Ed-NS,ISIIS201506110858.txt,102,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-103,OST15-Eddy-2b-Ed-NS,ISIIS201506111452.txt,103,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-104,OST15-Eddy-3-Ed-NS,ISIIS201506120932.txt,104,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-105,OST15-Eddy-4-X,ISIIS201506121236.txt,105,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-106,OST15-Eddy-6-Ed-Of,ISIIS201506130918.txt,106,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-106,OST15-Eddy-6-Ed-Of,ISIIS201506131210.txt,106,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-107,OST15-Eddy-7-X,ISIIS201506131400.txt,107,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-107,OST15-Eddy-7-X,ISIIS201506131750.txt,107,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-108,OST15-Eddy-10-Ed-NS,ISIIS201506140720.txt,108,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-109,OST15-Eddy-11-X,ISIIS201506141901.txt,109,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-110,OST15-Eddy-12-X,ISIIS201506142141.txt,110,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-111,OST15-Eddy-15-Ed-Of,ISIIS201506151421.txt,111,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-112,OST15-Eddy-15b-Ed-Of,ISIIS201506151616.txt,112,edge,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-113,OST15-Eddy-16-X,ISIIS201506160028.txt,113,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-114,OST15-Eddy-17-X,ISIIS201506161124.txt,114,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-115,OST15-Eddy-18-X,ISIIS201506161446.txt,115,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-116,OST15-Eddy-19-X,ISIIS201506161648.txt,116,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-117,OST15-Eddy-20-X,ISIIS201506161856.txt,117,x,und,eddy,,,,,,,,,
OSTRICH 2015,ISIIS-118,OST15-6E-Und,ISIIS201506181409.txt,118,6,und,e,,,,,,,,,
OSTRICH 2015,ISIIS-119,OST15-6E-S,ISIIS201506181520.txt,119,6,s,e,,,,,,,,,
OSTRICH 2015,ISIIS-120,OST15-6E-M,ISIIS201506181943.txt,120,6,m,e,,,,,,,,,
OSTRICH 2015,ISIIS-121,OST15-7E-Und,ISIIS201506190748.txt,121,7,und,e,,,,,,,,,
OSTRICH 2015,ISIIS-122,OST15-7E-S,ISIIS201506190905.txt,122,7,s,e,,,,,,,,,
