Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 1	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/10/2015	04:00:00.578	$GPGGA,040001,2543.8835,N,08009.7275,W,1,7,3.7,16,M,,M,,*51
06/10/2015	04:00:01.588	$GPGGA,040002,2543.8837,N,08009.7276,W,1,7,3.7,16,M,,M,,*53
06/10/2015	04:00:02.498	$GPGGA,040003,2543.8837,N,08009.7276,W,1,7,3.7,16,M,,M,,*52
06/10/2015	04:00:03.578	$GPGGA,040004,2543.8838,N,08009.7276,W,1,7,3.7,15,M,,M,,*59
06/10/2015	04:00:04.568	$GPGGA,040005,2543.8839,N,08009.7276,W,1,7,3.7,15,M,,M,,*59
06/10/2015	04:00:05.608	$GPGGA,040006,2543.8837,N,08009.7276,W,1,8,3.5,15,M,,M,,*59
06/10/2015	04:00:06.587	$GPGGA,040007,2543.8835,N,08009.7277,W,1,8,1.7,15,M,,M,,*5B
06/10/2015	04:00:07.627	$GPGGA,040008,2543.8835,N,08009.7280,W,1,8,1.9,15,M,,M,,*52
06/10/2015	04:00:08.577	$GPGGA,040009,2543.8835,N,08009.7279,W,1,8,1.7,15,M,,M,,*5B
06/10/2015	04:00:09.577	$GPGGA,040010,2543.8833,N,08009.7280,W,1,9,1.7,15,M,,M,,*52
06/10/2015	04:00:10.567	$GPGGA,040011,2543.8834,N,08009.7280,W,1,9,1.7,15,M,,M,,*54
06/10/2015	04:00:11.599	$GPGGA,040012,2543.8832,N,08009.7281,W,1,9,1.7,15,M,,M,,*50
06/10/2015	04:00:12.568	$GPGGA,040013,2543.8831,N,08009.7283,W,1,9,1.7,16,M,,M,,*53
06/10/2015	04:00:13.578	$GPGGA,040014,2543.8831,N,08009.7282,W,1,8,1.9,16,M,,M,,*5A
06/10/2015	04:00:14.558	$GPGGA,040015,2543.8830,N,08009.7283,W,1,8,1.9,16,M,,M,,*5B
06/10/2015	04:00:15.578	$GPGGA,040016,2543.8831,N,08009.7284,W,1,8,1.9,16,M,,M,,*5E
06/10/2015	04:00:16.858	$GPGGA,040017,2543.8830,N,08009.7285,W,1,8,1.9,17,M,,M,,*5E
06/10/2015	04:00:17.568	$GPGGA,040018,2543.8831,N,08009.7287,W,1,8,1.9,17,M,,M,,*52
06/10/2015	04:00:18.548	$GPGGA,040019,2543.8830,N,08009.7286,W,1,8,1.9,17,M,,M,,*53
06/10/2015	04:00:19.568	$GPGGA,040020,2543.8829,N,08009.7287,W,1,8,1.9,17,M,,M,,*50
06/10/2015	04:00:20.548	$GPGGA,040021,2543.8831,N,08009.7287,W,1,8,1.7,18,M,,M,,*59
06/10/2015	04:00:21.568	$GPGGA,040022,2543.8830,N,08009.7288,W,1,9,1.7,18,M,,M,,*55
06/10/2015	04:00:22.548	$GPGGA,040023,2543.8831,N,08009.7288,W,1,9,1.7,18,M,,M,,*55
06/10/2015	04:00:23.578	$GPGGA,040024,2543.8830,N,08009.7288,W,1,8,1.9,18,M,,M,,*5C
06/10/2015	04:00:24.537	$GPGGA,040025,2543.8831,N,08009.7288,W,1,8,1.9,19,M,,M,,*5D
06/10/2015	04:00:25.547	$GPGGA,040026,2543.8830,N,08009.7288,W,1,8,1.9,19,M,,M,,*5F
06/10/2015	04:00:26.537	$GPGGA,040027,2543.8829,N,08009.7287,W,1,8,1.9,19,M,,M,,*59
06/10/2015	04:00:27.567	$GPGGA,040028,2543.8830,N,08009.7287,W,1,9,1.7,19,M,,M,,*51
06/10/2015	04:00:28.518	$GPGGA,040029,2543.8829,N,08009.7288,W,1,9,1.7,20,M,,M,,*5D
06/10/2015	04:00:29.558	$GPGGA,040030,2543.8830,N,08009.7288,W,1,9,1.7,20,M,,M,,*5D
06/10/2015	04:00:30.538	$GPGGA,040031,2543.8828,N,08009.7290,W,1,9,1.9,20,M,,M,,*52
06/10/2015	04:00:31.548	$GPGGA,040032,2543.8828,N,08009.7289,W,1,9,1.7,21,M,,M,,*56
06/10/2015	04:00:32.508	$GPGGA,040033,2543.8828,N,08009.7290,W,1,9,1.9,21,M,,M,,*51
06/10/2015	04:00:33.528	$GPGGA,040034,2543.8828,N,08009.7289,W,1,8,1.9,21,M,,M,,*5F
06/10/2015	04:00:34.528	$GPGGA,040035,2543.8828,N,08009.7290,W,1,8,1.9,21,M,,M,,*56
