Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 1	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/15/2015	15:00:00.526	$GPGGA,150001,2423.3855,N,08052.4735,W,1,8,2.0,15,M,,M,,*5D
06/15/2015	15:00:01.552	$GPGGA,150002,2423.3853,N,08052.4728,W,1,8,2.0,15,M,,M,,*54
06/15/2015	15:00:02.529	$GPGGA,150003,2423.3847,N,08052.4722,W,1,8,2.0,15,M,,M,,*5A
06/15/2015	15:00:03.541	$GPGGA,150004,2423.3843,N,08052.4717,W,1,8,2.0,15,M,,M,,*5F
06/15/2015	15:00:04.506	$GPGGA,150005,2423.3840,N,08052.4711,W,1,8,2.0,15,M,,M,,*5B
06/15/2015	15:00:05.606	$GPGGA,150006,2423.3835,N,08052.4703,W,1,8,2.0,15,M,,M,,*59
06/15/2015	15:00:06.516	$GPGGA,150007,2423.3830,N,08052.4696,W,1,8,2.0,15,M,,M,,*50
06/15/2015	15:00:07.628	$GPGGA,150008,2423.3826,N,08052.4690,W,1,8,2.0,15,M,,M,,*5E
06/15/2015	15:00:08.516	$GPGGA,150009,2423.3822,N,08052.4685,W,1,8,2.0,15,M,,M,,*5F
06/15/2015	15:00:09.606	$GPGGA,150010,2423.3818,N,08052.4678,W,1,8,2.0,15,M,,M,,*5C
06/15/2015	15:00:10.595	$GPGGA,150011,2423.3814,N,08052.4670,W,1,8,2.0,15,M,,M,,*59
06/15/2015	15:00:11.605	$GPGGA,150012,2423.3810,N,08052.4664,W,1,8,2.0,15,M,,M,,*5B
06/15/2015	15:00:12.595	$GPGGA,150013,2423.3806,N,08052.4658,W,1,8,2.0,15,M,,M,,*52
06/15/2015	15:00:13.495	$GPGGA,150014,2423.3802,N,08052.4651,W,1,8,2.0,15,M,,M,,*58
06/15/2015	15:00:14.565	$GPGGA,150015,2423.3797,N,08052.4645,W,1,8,2.0,15,M,,M,,*5F
06/15/2015	15:00:15.595	$GPGGA,150016,2423.3793,N,08052.4638,W,1,8,2.0,15,M,,M,,*52
06/15/2015	15:00:16.575	$GPGGA,150017,2423.3790,N,08052.4632,W,1,8,2.0,15,M,,M,,*5A
06/15/2015	15:00:17.565	$GPGGA,150018,2423.3785,N,08052.4625,W,1,8,2.0,15,M,,M,,*57
06/15/2015	15:00:18.565	$GPGGA,150019,2423.3781,N,08052.4619,W,1,8,2.0,15,M,,M,,*5D
06/15/2015	15:00:19.565	$GPGGA,150020,2423.3778,N,08052.4613,W,1,8,2.0,15,M,,M,,*5B
06/15/2015	15:00:20.555	$GPGGA,150021,2423.3774,N,08052.4606,W,1,8,2.0,15,M,,M,,*52
06/15/2015	15:00:21.585	$GPGGA,150022,2423.3770,N,08052.4599,W,1,8,2.0,15,M,,M,,*50
06/15/2015	15:00:22.556	$GPGGA,150023,2423.3766,N,08052.4593,W,1,8,2.0,15,M,,M,,*5C
06/15/2015	15:00:23.596	$GPGGA,150024,2423.3763,N,08052.4587,W,1,8,2.0,15,M,,M,,*5B
06/15/2015	15:00:24.556	$GPGGA,150025,2423.3759,N,08052.4579,W,1,8,2.0,15,M,,M,,*52
06/15/2015	15:00:25.556	$GPGGA,150026,2423.3754,N,08052.4573,W,1,8,2.0,15,M,,M,,*56
06/15/2015	15:00:26.556	$GPGGA,150027,2423.3750,N,08052.4567,W,1,8,2.0,15,M,,M,,*56
