Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 1	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/10/2015	19:00:00.522	$GPGGA,190001,2447.9315,N,08026.2272,W,1,9,1.9,18,M,,M,,*53
06/10/2015	19:00:01.500	$GPGGA,190002,2447.9307,N,08026.2281,W,1,9,1.9,18,M,,M,,*5F
06/10/2015	19:00:02.490	$GPGGA,190003,2447.9299,N,08026.2292,W,1,9,1.9,18,M,,M,,*5A
06/10/2015	19:00:03.600	$GPGGA,190004,2447.9290,N,08026.2302,W,1,9,1.9,18,M,,M,,*5C
06/10/2015	19:00:04.490	$GPGGA,190005,2447.9283,N,08026.2312,W,1,9,1.9,18,M,,M,,*5E
06/10/2015	19:00:05.524	$GPGGA,190006,2447.9273,N,08026.2323,W,1,9,1.9,18,M,,M,,*50
06/10/2015	19:00:06.500	$GPGGA,190007,2447.9265,N,08026.2334,W,1,9,1.9,18,M,,M,,*50
06/10/2015	19:00:07.600	$GPGGA,190008,2447.9258,N,08026.2344,W,1,9,1.9,18,M,,M,,*56
06/10/2015	19:00:08.501	$GPGGA,190009,2447.9249,N,08026.2353,W,1,9,1.6,18,M,,M,,*5E
06/10/2015	19:00:09.581	$GPGGA,190010,2447.9240,N,08026.2364,W,1,9,1.9,18,M,,M,,*54
06/10/2015	19:00:10.491	$GPGGA,190011,2447.9233,N,08026.2374,W,1,9,1.9,18,M,,M,,*50
06/10/2015	19:00:11.590	$GPGGA,190012,2447.9225,N,08026.2384,W,1,10,1.6,17,M,,M,,*63
06/10/2015	19:00:12.570	$GPGGA,190013,2447.9218,N,08026.2395,W,1,10,1.9,17,M,,M,,*63
06/10/2015	19:00:13.600	$GPGGA,190014,2447.9211,N,08026.2404,W,1,10,1.6,17,M,,M,,*6D
06/10/2015	19:00:14.560	$GPGGA,190015,2447.9202,N,08026.2415,W,1,10,1.6,17,M,,M,,*6E
06/10/2015	19:00:15.610	$GPGGA,190016,2447.9193,N,08026.2424,W,1,10,1.6,17,M,,M,,*64
06/10/2015	19:00:16.570	$GPGGA,190017,2447.9186,N,08026.2435,W,1,10,1.9,17,M,,M,,*6E
06/10/2015	19:00:17.570	$GPGGA,190018,2447.9179,N,08026.2446,W,1,10,1.6,17,M,,M,,*6A
06/10/2015	19:00:18.570	$GPGGA,190019,2447.9172,N,08026.2456,W,1,10,1.6,17,M,,M,,*61
06/10/2015	19:00:19.590	$GPGGA,190020,2447.9164,N,08026.2467,W,1,10,1.6,17,M,,M,,*6E
06/10/2015	19:00:20.560	$GPGGA,190021,2447.9157,N,08026.2476,W,1,10,1.6,17,M,,M,,*6F
06/10/2015	19:00:21.570	$GPGGA,190022,2447.9149,N,08026.2486,W,1,10,1.6,17,M,,M,,*6C
06/10/2015	19:00:22.550	$GPGGA,190023,2447.9142,N,08026.2496,W,1,10,1.6,17,M,,M,,*67
06/10/2015	19:00:23.580	$GPGGA,190024,2447.9135,N,08026.2507,W,1,10,1.6,17,M,,M,,*69
06/10/2015	19:00:24.540	$GPGGA,190025,2447.9126,N,08026.2518,W,1,10,1.6,18,M,,M,,*6B
06/10/2015	19:00:25.560	$GPGGA,190026,2447.9117,N,08026.2526,W,1,10,1.6,18,M,,M,,*67
06/10/2015	19:00:26.551	$GPGGA,190027,2447.9110,N,08026.2537,W,1,10,1.6,18,M,,M,,*61
06/10/2015	19:00:27.561	$GPGGA,190028,2447.9103,N,08026.2548,W,1,10,1.6,18,M,,M,,*64
06/10/2015	19:00:28.550	$GPGGA,190029,2447.9095,N,08026.2558,W,1,10,1.6,18,M,,M,,*6A
06/10/2015	19:00:29.540	$GPGGA,190030,2447.9086,N,08026.2568,W,1,10,1.6,18,M,,M,,*63
06/10/2015	19:00:30.550	$GPGGA,190031,2447.9079,N,08026.2579,W,1,10,1.6,18,M,,M,,*62
06/10/2015	19:00:31.560	$GPGGA,190032,2447.9071,N,08026.2588,W,1,10,1.6,18,M,,M,,*67
06/10/2015	19:00:32.535	$GPGGA,190033,2447.9063,N,08026.2598,W,1,10,1.6,18,M,,M,,*64
06/10/2015	19:00:33.550	$GPGGA,190034,2447.9055,N,08026.2608,W,1,10,1.6,18,M,,M,,*6C
06/10/2015	19:00:34.522	$GPGGA,190035,2447.9048,N,08026.2619,W,1,10,1.6,18,M,,M,,*61
06/10/2015	19:00:35.570	$GPGGA,190036,2447.9041,N,08026.2628,W,1,10,1.6,18,M,,M,,*69
06/10/2015	19:00:36.540	$GPGGA,190037,2447.9034,N,08026.2638,W,1,10,1.6,18,M,,M,,*6B
06/10/2015	19:00:37.510	$GPGGA,190038,2447.9025,N,08026.2648,W,1,10,1.6,18,M,,M,,*63
06/10/2015	19:00:38.531	$GPGGA,190039,2447.9017,N,08026.2657,W,1,10,1.6,18,M,,M,,*6D
06/10/2015	19:00:39.550	$GPGGA,190040,2447.9010,N,08026.2668,W,1,10,1.6,18,M,,M,,*68
06/10/2015	19:00:40.533	$GPGGA,190041,2447.9002,N,08026.2678,W,1,10,1.6,18,M,,M,,*6B
06/10/2015	19:00:41.526	$GPGGA,190042,2447.8994,N,08026.2688,W,1,9,2.3,18,M,,M,,*5E
06/10/2015	19:00:42.500	$GPGGA,190043,2447.8984,N,08026.2700,W,1,9,1.6,19,M,,M,,*58
06/10/2015	19:00:43.538	$GPGGA,190044,2447.8976,N,08026.2710,W,1,9,1.9,19,M,,M,,*5C
06/10/2015	19:00:44.511	$GPGGA,190045,2447.8969,N,08026.2720,W,1,9,2.8,19,M,,M,,*52
06/10/2015	19:00:45.541	$GPGGA,190046,2447.8961,N,08026.2729,W,1,9,2.3,19,M,,M,,*5B
06/10/2015	19:00:46.510	$GPGGA,190047,2447.8954,N,08026.2739,W,1,9,1.6,19,M,,M,,*5B
06/10/2015	19:00:47.521	$GPGGA,190048,2447.8947,N,08026.2750,W,1,10,1.6,19,M,,M,,*61
06/10/2015	19:00:48.670	$GPGGA,190049,2447.8940,N,08026.2761,W,1,10,1.6,19,M,,M,,*65
06/10/2015	19:00:49.633	$GPGGA,190050,2447.8930,N,08026.2771,W,1,10,1.6,19,M,,M,,*6B
