Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1	Error Count Since VI Started: 3	Manufacturer: Raytheon	 Model Number: RayMarine 120	 S/N: 	 Cal Date: 	 Wind Direction Offset: 0.00	 Slope (M)1: 0.00	 Offset (B)1: 0.00	 Slope (M)2: 0.00	 Offset (B)2: 0.00	 Slope (M)3: 0.00	 Offset (B)3: 0.00	 Slope (M)4: 0.00	 Offset (B)4: 0.00	 Slope (M)5: 0.00	 Offset (B)5: 0.00	 Slope (M)6: 0.00	 Offset (B)6: 0.00
Computer Date	Computer Time	GGA String
06/22/2015	19:00:00.558	$GPGGA,190001,2419.2248,N,08159.5715,W,1,9,1.8,13,M,,M,,*5A
06/22/2015	19:00:01.548	$GPGGA,190002,2419.2263,N,08159.5723,W,1,9,1.8,13,M,,M,,*55
06/22/2015	19:00:02.548	$GPGGA,190003,2419.2278,N,08159.5730,W,1,9,2.2,13,M,,M,,*55
06/22/2015	19:00:03.578	$GPGGA,190004,2419.2298,N,08159.5738,W,1,10,1.6,13,M,,M,,*6B
06/22/2015	19:00:04.548	$GPGGA,190005,2419.2316,N,08159.5746,W,1,10,1.8,13,M,,M,,*6A
06/22/2015	19:00:05.539	$GPGGA,190006,2419.2335,N,08159.5755,W,1,9,1.8,13,M,,M,,*52
06/22/2015	19:00:06.547	$GPGGA,190007,2419.2354,N,08159.5762,W,1,9,1.8,13,M,,M,,*50
06/22/2015	19:00:07.567	$GPGGA,190008,2419.2372,N,08159.5770,W,1,9,1.8,13,M,,M,,*58
06/22/2015	19:00:08.537	$GPGGA,190009,2419.2390,N,08159.5780,W,1,9,1.8,13,M,,M,,*5A
06/22/2015	19:00:09.577	$GPGGA,190010,2419.2410,N,08159.5788,W,1,9,1.8,13,M,,M,,*55
06/22/2015	19:00:10.528	$GPGGA,190011,2419.2429,N,08159.5795,W,1,9,1.8,13,M,,M,,*52
06/22/2015	19:00:11.530	$GPGGA,190012,2419.2448,N,08159.5802,W,1,9,1.8,13,M,,M,,*57
06/22/2015	19:00:12.520	$GPGGA,190013,2419.2466,N,08159.5811,W,1,9,1.8,13,M,,M,,*58
06/22/2015	19:00:13.507	$GPGGA,190014,2419.2484,N,08159.5820,W,1,9,1.8,13,M,,M,,*51
06/22/2015	19:00:14.507	$GPGGA,190015,2419.2502,N,08159.5827,W,1,9,1.8,13,M,,M,,*58
06/22/2015	19:00:15.547	$GPGGA,190016,2419.2522,N,08159.5835,W,1,9,1.8,13,M,,M,,*5A
06/22/2015	19:00:16.829	$GPGGA,190017,2419.2540,N,08159.5843,W,1,9,1.8,13,M,,M,,*5E
06/22/2015	19:00:17.520	$GPGGA,190018,2419.2558,N,08159.5849,W,1,9,1.8,13,M,,M,,*52
06/22/2015	19:00:18.497	$GPGGA,190019,2419.2576,N,08159.5856,W,1,9,1.6,13,M,,M,,*5F
06/22/2015	19:00:19.534	$GPGGA,190020,2419.2594,N,08159.5865,W,1,10,1.6,13,M,,M,,*61
06/22/2015	19:00:20.497	$GPGGA,190021,2419.2614,N,08159.5874,W,1,10,1.8,13,M,,M,,*65
06/22/2015	19:00:21.517	$GPGGA,190022,2419.2632,N,08159.5881,W,1,10,1.6,13,M,,M,,*66
06/22/2015	19:00:22.497	$GPGGA,190023,2419.2652,N,08159.5887,W,1,10,1.6,13,M,,M,,*67
06/22/2015	19:00:23.529	$GPGGA,190024,2419.2670,N,08159.5896,W,1,10,1.6,13,M,,M,,*60
06/22/2015	19:00:24.496	$GPGGA,190025,2419.2688,N,08159.5903,W,1,10,1.8,13,M,,M,,*65
06/22/2015	19:00:25.506	$GPGGA,190026,2419.2706,N,08159.5910,W,1,10,1.6,13,M,,M,,*6D
06/22/2015	19:00:26.486	$GPGGA,190027,2419.2724,N,08159.5917,W,1,10,1.8,13,M,,M,,*65
06/22/2015	19:00:27.517	$GPGGA,190028,2419.2742,N,08159.5925,W,1,9,1.8,13,M,,M,,*53
06/22/2015	19:00:28.577	$GPGGA,190029,2419.2761,N,08159.5932,W,1,9,1.8,13,M,,M,,*55
06/22/2015	19:00:29.607	$GPGGA,190030,2419.2779,N,08159.5939,W,1,9,1.8,13,M,,M,,*5F
06/22/2015	19:00:30.497	$GPGGA,190031,2419.2797,N,08159.5947,W,1,9,1.8,13,M,,M,,*57
06/22/2015	19:00:31.587	$GPGGA,190032,2419.2813,N,08159.5954,W,1,9,1.8,13,M,,M,,*55
06/22/2015	19:00:32.487	$GPGGA,190033,2419.2831,N,08159.5961,W,1,9,1.8,13,M,,M,,*52
06/22/2015	19:00:33.623	$GPGGA,190034,2419.2849,N,08159.5968,W,1,9,1.8,13,M,,M,,*53
06/22/2015	19:00:34.577	$GPGGA,190035,2419.2869,N,08159.5975,W,1,9,1.8,13,M,,M,,*5C
06/22/2015	19:00:35.637	$GPGGA,190036,2419.2887,N,08159.5983,W,1,9,1.8,13,M,,M,,*56
