"doy"	"lat"	"lon"	"depth.m."	"u.velocity.m.s."	"v.velocity.m.s."	"qual.flag"	"date"	"dateTime"	"time"	"current_speed"	"rotation"
160.599456018519	25.3120305555556	-80.2312222222222	-18.5599994659424	-0.731701612472534	-1.19144070148468	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.39818389164273	-148.519884830691
160.599456018519	25.3120305555556	-80.2312222222222	-26.5599994659424	-0.915701627731323	-1.25144064426422	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.55068151376943	-143.879335262022
160.599456018519	25.3120305555556	-80.2312222222222	-34.560001373291	-0.927701711654663	-1.36844062805176	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.65325745675309	-145.939612633592
160.599456018519	25.3120305555556	-80.2312222222222	-42.560001373291	-0.927701711654663	-1.37244069576263	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.65656992885673	-146.017285338056
160.599456018519	25.3120305555556	-80.2312222222222	-50.560001373291	-1.00770163536072	-1.39544069766998	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.72125457925966	-144.238617608005
160.599456018519	25.3120305555556	-80.2312222222222	-58.560001373291	-1.0007016658783	-1.38544070720673	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.70904937824426	-144.232596843462
160.599456018519	25.3120305555556	-80.2312222222222	-66.5599975585938	-0.988701641559601	-1.36644065380096	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.68662117749738	-144.185105275142
160.599456018519	25.3120305555556	-80.2312222222222	-74.5599975585938	-0.983701646327972	-1.44544064998627	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.74841860022739	-145.836497698086
160.599456018519	25.3120305555556	-80.2312222222222	-82.5599975585938	-0.935701608657837	-1.4024406671524	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.6859351486127	-146.363174570012
160.599456018519	25.3120305555556	-80.2312222222222	-90.5599975585938	-0.966701686382294	-1.37544071674347	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.68117498069956	-144.972776748123
160.599456018519	25.3120305555556	-80.2312222222222	-98.5599975585938	-0.985701680183411	-1.4374406337738	0	2015-06-09	"2015-06-09 14:23:13"	20150609142313	1.74294101390162	-145.63407905962
160.911967592593	24.596275	-80.7676555555556	-18.5599994659424	0.0750033855438232	0.143991708755493	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.162354919954284	27.5283696237435
160.911967592593	24.596275	-80.7676555555556	-26.5599994659424	0.128003597259521	0.181991815567017	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.22249930751523	35.1383776682735
160.911967592593	24.596275	-80.7676555555556	-34.560001373291	0.0830035209655762	0.306991815567017	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.318015030018734	15.1373791475614
160.911967592593	24.596275	-80.7676555555556	-42.560001373291	0.0600035190582275	0.179991722106934	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.18972991942862	18.4460988893174
160.911967592593	24.596275	-80.7676555555556	-50.560001373291	0.00100350379943848	0.0439918041229248	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.04400324817403	1.3074190059364
160.911967592593	24.596275	-80.7676555555556	-58.560001373291	0.0660035610198975	-0.0300081968307495	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.072504909794719	114.506737174087
160.911967592593	24.596275	-80.7676555555556	-66.5599975585938	0.121003389358521	-0.0840082168579102	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.14730648572244	124.834115719416
160.911967592593	24.596275	-80.7676555555556	-74.5599975585938	0.0790035724639893	-0.0410082340240479	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.0890125818064159	117.491949644407
160.911967592593	24.596275	-80.7676555555556	-82.5599975585938	0.0160033702850342	-0.0460082292556763	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.0487120623636773	160.901998149702
160.911967592593	24.596275	-80.7676555555556	-90.5599975585938	0.123003482818604	-0.00200819969177246	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.12301987502639	90.9814724082802
160.911967592593	24.596275	-80.7676555555556	-98.5599975585938	0.163003444671631	0.033991813659668	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.166509958773315	78.260349113745
160.911967592593	24.596275	-80.7676555555556	-106.559997558594	0.158003568649292	0.030991792678833	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.161014343831099	78.9425608590216
160.911967592593	24.596275	-80.7676555555556	-114.559997558594	0.20400333404541	0.0639917850494385	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.213804370524685	72.62121303413
160.911967592593	24.596275	-80.7676555555556	-122.559997558594	0.116003513336182	0.00699174404144287	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.116214024932789	86.594750891432
160.911967592593	24.596275	-80.7676555555556	-130.559997558594	0.111003398895264	-0.00500822067260742	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.111116321216132	92.6302628258782
160.911967592593	24.596275	-80.7676555555556	-138.559997558594	0.131003379821777	-0.0590082406997681	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.143679706274792	114.306319949847
160.911967592593	24.596275	-80.7676555555556	-146.559997558594	0.0380034446716309	-0.0540082454681396	0	2015-06-09	"2015-06-09 21:53:14"	20150609215314	0.0660390216876093	144.940958694153
